Rating;Rating Agency;Corporation;Year;Default Probability;Predicted Rating
A-;Standard & Poor's Ratings Services;American States Water Co.;2010;0.000068084579774;AAA
AAA;Standard & Poor's Ratings Services;Automatic Data Processing Inc.;2010;0.000173032890523;A
BBB-;Standard & Poor's Ratings Services;Avnet Inc.;2010;0.000047419350077;B
AA-;Standard & Poor's Ratings Services;California Water Service Co.;2010;0.244594150213938;AAA
A;Standard & Poor's Ratings Services;Cardinal Health Inc.;2010;0.000151713755358;AAA
BBB+;Standard & Poor's Ratings Services;Cardinal Health Inc.;2010;0.000155045880907;AAA
BBB;Standard & Poor's Ratings Services;Carpenter Technology Corp.;2010;0.000010766664491;B
BB;Standard & Poor's Ratings Services;Companhia de Saneamento Basico do Estado de Sao Paulo;2010;0.000024678138958;BB
BBB+;Standard & Poor's Ratings Services;Compass Group PLC;2010;0.000230404168264;AAA
A-;Standard & Poor's Ratings Services;Diageo PLC;2010;0.000065880372038;AAA
BBB-;Standard & Poor's Ratings Services;Entergy Corp;2010;0.000025475877948;AAA
A-;Standard & Poor's Ratings Services;Entergy Corp;2010;0.000031520352632;AAA
A;Standard & Poor's Ratings Services;FMC Technologies Inc.;2010;0.000017462333387;AAA
BBB;Standard & Poor's Ratings Services;FedEx Corp.;2010;0.000100915525366;B
BB;Standard & Poor's Ratings Services;Flowserve Corp.;2010;0.000035119592146;BB
A;Standard & Poor's Ratings Services;Fluor Corp.;2010;0.000030002575877;AAA
B;Standard & Poor's Ratings Services;Fresh Del Monte Produce Inc.;2010;0.000012532765128;BBB
BBB+;Standard & Poor's Ratings Services;General Mills Inc.;2010;0.000027288514885;B
BB+;Standard & Poor's Ratings Services;Jabil Inc.;2010;0.000043696992315;BB
BBB;Standard & Poor's Ratings Services;Kennametal Inc.;2010;0.000015819306399;B
BBB+;Standard & Poor's Ratings Services;Kohl's Corp.;2010;0.000023209707659;B
B+;Standard & Poor's Ratings Services;Koppers Holdings Inc.;2010;0.000058934982387;BBB
A;Standard & Poor's Ratings Services;Korea Electric Power Corp.;2010;0.104970557260825;AAA
AAA;Standard & Poor's Ratings Services;Madison Gas & Electric Co.;2010;0.000204672024313;A
B+;Standard & Poor's Ratings Services;Micron Technology Inc.;2010;0.000283845691361;BB
AAA;Standard & Poor's Ratings Services;Microsoft Corp.;2010;0.000230577956757;A
A-;Standard & Poor's Ratings Services;National Grid Gas PLC;2010;0.000002706155841;AAA
A;Standard & Poor's Ratings Services;National Grid USA;2010;0.000002376150619;AAA
BBB-;Standard & Poor's Ratings Services;Newmont USA Ltd.;2010;0.000019613965644;B
A-;Standard & Poor's Ratings Services;Northwest Natural Gas Co.;2010;0.155635858649388;AAA
BB-;Standard & Poor's Ratings Services;PNM Resources Inc;2010;0.000021412203133;BB
BB-;Standard & Poor's Ratings Services;Rent-A-Center Inc.;2010;0.000101844942306;BB
BBB-;Standard & Poor's Ratings Services;Shaw Communications Inc.;2010;0.000017660383597;B
BBB-;Standard & Poor's Ratings Services;Southern Copper Corp.;2010;0.000004303997856;B
BBB+;Standard & Poor's Ratings Services;Southern Power Company;2010;0.000020321502848;B
BBB;Standard & Poor's Ratings Services;Teck Resources Ltd.;2010;0.000018211526770;B
BB+;Standard & Poor's Ratings Services;TransAlta Corp.;2010;0.000027892189522;BB
BBB;DBRS;TransAlta Corporation;2010;0.000004877248746;B
BB-;Standard & Poor's Ratings Services;Tutor Perini Corporation;2010;0.000036868265082;BB
BB+;Standard & Poor's Ratings Services;Universal Health Services Inc.;2010;0.000048961567629;BB
BBB+;Standard & Poor's Ratings Services;Vector Ltd.;2010;0.000009726410638;B
A;Standard & Poor's Ratings Services;ALLETE Inc.;2011;0.000053009309825;AAA
AAA;Standard & Poor's Ratings Services;Abbott Laboratories;2011;0.000251712532888;A
AAA;Standard & Poor's Ratings Services;Abbott Laboratories;2011;0.000249774723540;A
A;Standard & Poor's Ratings Services;Air Products and Chemicals Inc.;2011;0.000027102153082;AAA
B;Standard & Poor's Ratings Services;Alaska Air Group Inc.;2011;0.000076538253843;BBB
BBB;Standard & Poor's Ratings Services;Alliant Energy Corp.;2011;0.000049271794843;B
B-;Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;2011;0.000011368856162;BBB
B-;Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;2011;0.000012421047964;BBB
B;Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;2011;0.000017597298404;BBB
A+;Standard & Poor's Ratings Services;American States Water Co.;2011;0.000103832916017;AAA
A-;Standard & Poor's Ratings Services;AmerisourceBergen Corp.;2011;0.000237003659358;AAA
A;Standard & Poor's Ratings Services;AmerisourceBergen Corp.;2011;0.000241984286880;AAA
A+;Standard & Poor's Ratings Services;Amgen Inc.;2011;0.000100304885169;AAA
A-;Standard & Poor's Ratings Services;Amgen Inc.;2011;0.000097711566756;AAA
A+;Standard & Poor's Ratings Services;Amgen Inc.;2011;0.000088977262456;AAA
A+;Standard & Poor's Ratings Services;Amgen Inc.;2011;0.000127335795113;AAA
B+;Standard & Poor's Ratings Services;Amkor Technology Inc.;2011;0.000068036213307;BB
BB;Standard & Poor's Ratings Services;Amkor Technology Inc.;2011;0.000071438193591;BB
BBB;Standard & Poor's Ratings Services;Amphenol Corp.;2011;0.000024144155948;B
A-;Standard & Poor's Ratings Services;Analog Devices Inc.;2011;0.000184235593647;AAA
BBB;Standard & Poor's Ratings Services;Arrow Electronics Inc.;2011;0.000016971024805;B
AA-;Standard & Poor's Ratings Services;AstraZeneca PLC;2011;0.518208179446999;AA
A;Standard & Poor's Ratings Services;Atmos Energy Corp.;2011;0.099559411636309;AAA
BBB-;Standard & Poor's Ratings Services;AutoZone Inc.;2011;0.000041669830349;B
AAA;Standard & Poor's Ratings Services;Automatic Data Processing Inc.;2011;0.000169084953903;A
A;Standard & Poor's Ratings Services;Avery Dennison Corp.;2011;0.000018818758222;AAA
BBB-;Standard & Poor's Ratings Services;Avnet Inc.;2011;0.000047844672270;B
BBB-;Standard & Poor's Ratings Services;BCE Inc.;2011;0.000013466666037;B
BBB-;Standard & Poor's Ratings Services;BCE Inc.;2011;0.000011524832991;B
A-;Standard & Poor's Ratings Services;Baker Hughes Inc.;2011;0.000037177586781;AAA
BB+;Standard & Poor's Ratings Services;Ball Corporation;2011;0.000049627527620;BB
A-;Standard & Poor's Ratings Services;Barrick Gold Corp.;2011;0.000010071662386;B
CCC;Standard & Poor's Ratings Services;Beazer Homes USA Inc.;2011;0.004237858677687;C
B+;Standard & Poor's Ratings Services;Belden Inc.;2011;0.000052275750152;BBB
BBB;Standard & Poor's Ratings Services;Bio-Rad Laboratories Inc.;2011;0.000053036149906;B
BBB+;Standard & Poor's Ratings Services;Biogen Inc.;2011;0.000114110986940;B
BBB;Standard & Poor's Ratings Services;BorgWarner Inc.;2011;0.000045408070848;B
BBB-;Standard & Poor's Ratings Services;Braskem S.A.;2011;0.000002560486276;B
A+;Standard & Poor's Ratings Services;Bristol-Myers Squibb Co.;2011;0.000208730858423;AAA
A;Standard & Poor's Ratings Services;Brookfield Asset Management Inc.;2011;0.000015229039523;B
BBB;Standard & Poor's Ratings Services;CSX Corp.;2011;0.000025451592391;B
