age,ed,employ,address,income,debtinc,creddebt,othdebt,PD
36,1,16,13,32,10.9,0.544128,2.943872,0.0029937127845224305
50,1,6,27,21,12.9,1.316574,1.392426,0.024249960387526113
40,1,9,9,33,17.0,4.8807,0.7293,0.16635541263940157
31,1,5,7,23,2.0,0.046,0.414,0.02661746655998197
29,1,4,0,24,7.8,0.866736,1.005264,0.10010682316725567
25,2,1,3,14,9.9,0.232848,1.153152,0.11622791598177418
34,1,4,3,28,9.4,1.058064,1.573936,0.10652390119075607
50,1,30,8,150,32.5,13.5525,35.1975,0.2689887374143858
27,1,5,5,26,1.2,0.130416,0.181584,0.02729215499270023
31,4,7,12,97,6.0,1.82748,3.99252,0.035526128063350156
45,1,8,25,27,2.6,0.415584,0.286416,0.004918648661348177
35,1,10,8,28,1.3,0.109928,0.254072,0.008068896436007169
47,2,27,7,107,6.1,1.638277,4.888723,0.0005569817279355845
50,3,25,7,94,5.3,1.733736,3.248264,0.0010546746780708783
37,2,15,11,108,11.8,5.250528,7.493472,0.05592041935250119
46,1,7,6,41,23.4,0.585234,9.008766,0.12726668900356822
26,4,1,5,92,13.0,6.50624,5.45376,0.2734260363066929
33,1,16,12,46,8.1,2.399544,1.326456,0.00594522296746244
43,1,8,0,32,19.0,1.23424,4.84576,0.13419011513515006
49,2,14,26,63,15.8,0.935676,9.018324,0.005009616406013756
44,1,2,15,22,9.6,1.091904,1.020096,0.08948674335411601
32,1,12,10,33,11.2,0.79464,2.90136,0.010760695816342614
38,1,5,4,20,1.5,0.0915,0.2085,0.04169426805927526
52,1,33,23,139,5.6,2.288496,5.495504,3.73937776072241e-05
35,1,10,3,24,21.3,1.083744,4.028256,0.06950943578684106
33,4,4,12,22,5.5,0.56628,0.64372,0.04395071198898006
35,1,11,12,77,4.7,1.100176,2.518824,0.008231752560051082
34,2,9,3,40,1.6,0.37376,0.26624,0.01841215127280252
39,1,19,16,53,3.7,0.190217,1.770783,0.0005387589598083959
31,1,8,4,27,5.4,0.673596,0.784404,0.028345200493953886
37,1,5,11,27,9.4,0.41877,2.11923,0.04277945349767762
44,1,19,9,40,10.9,0.34444,4.01556,0.002451323586000362
30,1,1,1,27,12.3,1.275264,2.045736,0.18505922993329826
37,1,18,9,58,10.3,2.86752,3.10648,0.008349765286804449
35,1,11,9,40,2.9,0.57188,0.58812,0.007790720414280373
43,1,4,11,26,7.1,0.751322,1.094678,0.06148168851654704
26,1,0,5,17,5.0,0.14195,0.70805,0.09350200341499819
35,1,13,4,42,17.6,0.768768,6.623232,0.026282163517353133
24,1,4,0,19,11.0,1.18503,0.90497,0.11428787437075645
24,1,4,1,23,4.9,0.242305,0.884695,0.057034778339322675
26,3,3,1,40,10.8,1.89648,2.42352,0.1667896303504659
34,1,10,12,48,5.1,0.264384,2.183616,0.007460734573961928
44,4,18,23,78,1.0,0.56472,0.21528,0.0004436145225977423
46,1,9,6,72,5.0,0.828,2.772,0.02889078567253502
40,1,17,5,55,11.4,2.12553,4.14447,0.012950020379010828
37,4,2,1,29,15.4,2.782318,1.683682,0.24406279551900506
35,3,5,13,30,10.6,1.5264,1.6536,0.06574967586694454
46,2,18,18,55,4.4,0.41866,2.00134,0.0009213078086521818
40,3,5,18,28,10.0,1.2628,1.5372,0.04453607427758497
48,2,21,14,86,1.2,0.145512,0.886488,0.00038389930152263395
53,1,33,25,324,7.0,7.05348,15.62652,0.00037944640527611396
45,3,9,0,84,13.1,1.276464,9.727536,0.11355565180438863
32,3,6,12,22,6.7,0.384714,1.089286,0.025621372930766505
43,1,15,21,62,9.4,0.693532,5.134468,0.002280703614086481
29,2,3,9,32,9.0,1.07136,1.80864,0.08019698295596898
47,2,7,24,49,0.9,0.253575,0.187425,0.00586877354377026
21,2,1,0,17,10.5,0.555135,1.229865,0.1410542928961499
30,1,0,2,20,5.4,0.62208,0.45792,0.13919432975499135
25,3,3,2,54,7.4,1.162836,2.833164,0.11262616094910008
27,1,6,2,52,13.8,1.90164,5.27436,0.12009615104946623
36,1,4,17,25,4.0,0.144,0.856,0.01960467429224893
35,1,12,3,30,15.4,1.89882,2.72118,0.04671954935331585
33,1,11,6,35,15.9,0.506415,5.058585,0.02494827823898529
21,3,0,1,41,19.5,2.36652,5.62848,0.24759308079015147
44,1,18,0,61,10.8,2.806488,3.781512,0.023572419382179886
37,1,19,7,38,13.5,2.59065,2.53935,0.008544274663958205
27,1,5,7,26,6.8,0.54808,1.21992,0.03987888167889381
37,2,11,11,47,9.6,1.597248,2.914752,0.020528109223485202
48,2,9,22,44,5.9,2.133912,0.462088,0.016752213202125124
30,1,4,2,21,3.5,0.228585,0.506415,0.05712844932471423
22,4,0,1,25,12.2,1.49145,1.55855,0.2033114175234606
39,2,18,18,47,7.6,1.564536,2.007464,0.001725221369187406
26,1,5,6,18,15.5,0.57474,2.21526,0.06880200704927344
29,2,9,8,30,21.7,3.6456,2.8644,0.13342527153129508
47,1,29,20,169,2.2,0.349492,3.368508,2.4189889378711748e-05
